0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	82	102	95	90	87	107	99	111	98	114	88	107	138	130	109	131	123	119	104	48	68	100	105	103	117	115	111	111	95	105	106	123	104	103	120	127	117	118	103	123	141	124	112	111	107	108	118	109	103	103	113	108	99	129	97	104	110	108	100	115	105	97	103	99	115	116	113	137	122	133	110	110	92	141	105	111	106	99	105	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	89	71	89	82	77	97	75	100	89	113	134	115	107	111	146	165	129	136	170	104	116	124	128	109	131	113	129	142	128	127	121	119	122	129	102	154	124	136	132	149	137	120	135	161	152	134	136	153	145	160	134	149	131	134	124	143	130	142	106	121	129	127	132	123	130	141	132	123	134	119	149	132	143	110	134	120	136	138	137	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	133	217	278	337	373	458	457	497	575	615	593	694	678	707	700	745	754	760	812	530	687	916	929	996	929	872	929	835	833	880	866	854	854	877	837	941	834	922	886	928	940	894	891	923	990	972	935	956	966	1003	1003	960	961	969	907	928	967	933	945	915	900	903	953	895	901	880	907	968	983	914	905	950	960	960	946	952	934	967	862	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	127	196	295	333	361	423	488	467	502	524	570	525	590	549	589	557	564	548	599	472	607	699	686	747	760	801	855	784	863	869	797	809	737	785	754	786	752	812	825	755	783	806	837	759	811	845	837	803	841	886	840	863	864	938	863	836	899	924	867	873	827	847	800	835	837	886	851	810	848	846	866	844	859	919	820	868	920	888	831	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	74	119	161	206	255	285	310	365	390	401	392	398	411	417	436	418	403	434	409	331	354	485	445	460	462	482	541	565	544	578	682	672	650	686	642	633	614	618	608	615	634	613	659	644	621	650	614	588	610	698	630	650	612	688	635	670	723	710	660	687	720	689	685	700	739	671	669	688	639	704	675	632	695	693	624	648	676	705	690	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	82	113	132	182	227	262	332	329	356	379	410	423	401	444	409	381	453	385	443	353	384	398	393	406	399	406	392	417	418	460	473	487	503	505	482	584	619	648	619	612	618	604	556	581	614	558	568	558	595	579	618	604	609	598	593	614	621	631	640	603	597	643	574	686	648	639	657	672	626	662	617	619	626	643	635	623	605	612	617	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
